,0
0,ARID1A_mut
1,ARID2_mut
2,BRAF_mut
3,CDKN2A_mut
4,EZH2_mut
5,MECOM_mut
6,NF1_mut
7,NRAS_mut
8,PLCB1_mut
9,PTEN_mut
10,TP53_mut
11,loss.cnaSKCM3
12,loss.cnaSKCM4..BNC2.CDKN2A.JAK2.PSIP1.
13,loss.cnaSKCM5..PAX5.
14,loss.cnaSKCM9
15,gain.cnaSKCM12..KRAS.
16,gain.cnaSKCM21..FOXP1.MITF.
17,loss.cnaSKCM22
18,loss.cnaSKCM23
19,loss.cnaSKCM24..loss.cnaSKCM25
20,loss.cnaSKCM26
21,loss.cnaSKCM27..CASP1.
22,loss.cnaSKCM28
23,loss.cnaSKCM30
