0,6.7755,5.6613,7.6264,4.088,5.4389,5.6561,5.0799,6.2235,4.1093,7.6264,7.6264,4.5915,7.382,5.5292,4.3901,5.4129,3.1809,5.2038,5.0765,7.6264,4.6936,4.3983,2.9344,6.9893,7.382,3.9875,4.6302,4.0747,5.5636,5.8284,7.6264,4.6056,4.18,6.3941,4.8638,4.2946,4.4357,4.1144,5.1475,4.8117,4.8031,7.6264,7.6264,6.2235,6.1157,5.1535,6.9893
1,1.754,2.4006,2.7111,1.4535,1.934,2.0393,2.154,2.2127,1.7867,2.7111,2.7111,1.0752,2.2416,2.3877,2.3087,1.9247,1.5623,1.93,1.4622,2.7111,2.0461,1.9135,0.46016,2.1134,2.2416,0.95779,0.67651,1.174,1.682,1.5574,2.7111,1.8898,1.545,1.5732,1.5408,1.7905,1.9104,2.0537,1.5639,2.0723,1.7589,2.7111,2.7111,2.2127,1.8571,1.5589,2.1134
3,1.6686,0.75284,1.012,2.7384,0.093378,1.2663,0.67559,0.82655,1.2018,1.012,1.012,0.71022,1.2676,0.73767,0.96661,0.60589,0.62515,1.6131,1.1598,1.012,1.035,0.75257,0.79146,1.5651,1.2676,0.8998,1.0472,0.67036,0.61407,1.0571,1.012,1.1295,1.1974,1.0667,0.66692,0.48478,0.60382,0.049989,0.66467,0.061801,0.94905,1.012,1.012,0.82655,1.7002,1.1539,1.5651
5,4.4222,2.2813,3.8256,2.0741,2.7283,3.7819,1.1879,3.1218,2.2403,3.8256,3.8256,2.3888,3.163,2.7735,1.8086,2.7152,1.6346,4.0322,3.9228,3.8256,2.4145,3.0453,2.9604,5.329,3.163,1.6526,2.4414,2.5289,4.2405,3.2487,3.8256,4.1686,0.89764,4.2514,3.2295,3.0144,2.2506,1.611,3.0141,2.4137,2.8511,3.8256,3.8256,3.1218,3.5493,3.928,5.329
2,2.9328,3.0333,3.9057,2.9171,2.7855,3.1045,2.7498,3.1868,1.2111,3.9057,3.9057,2.581,3.0951,2.8436,1.1896,2.6538,2.3744,1.5296,2.7718,3.9057,0.91564,1.2311,2.4473,3.702,3.0951,1.1946,1.1224,2.0705,2.9441,2.5872,3.9057,2.9563,0.92849,2.61,0.65067,2.5385,2.56,2.2024,2.9562,2.4641,2.9026,3.9057,3.9057,3.1868,2.7887,2.7665,3.702
6,1.0451,0.91722,1.2331,1.3407,0.88139,1.0124,0.82128,1.0057,1.3462,1.2331,1.2331,0.64538,1.0224,0.89486,0.92472,0.87453,1.0798,1.1811,0.82377,1.2331,0.98837,1.1737,1.3362,1.251,1.0224,0.76054,0.89567,0.44482,0.99615,0.88499,1.2331,0.65194,1.428,0.88715,1.176,0.81588,0.92664,0.66473,1.1666,0.77738,1.339,1.2331,1.2331,1.0057,0.84455,0.92245,1.251
4,3.7943,4.7745,6.4326,3.3576,4.587,3.8322,4.2841,5.2483,3.271,6.4326,6.4326,3.8655,5.1831,4.6631,3.4945,3.7494,2.2213,3.2509,3.51,6.4326,3.7361,3.2325,3.6739,4.7352,5.1831,3.2535,3.7778,2.713,3.7695,3.7435,6.4326,3.8778,2.7253,3.7765,0.65689,3.7095,3.7408,3.4699,3.3811,4.058,3.3543,6.4326,6.4326,5.2483,4.1664,3.4916,4.7352
7,3.6267,4.1044,5.3489,3.013,3.8164,3.7806,3.7123,4.3657,1.6304,5.3489,5.3489,2.9331,4.2897,4.3116,2.1359,3.68,2.4471,2.2463,3.3913,5.3489,1.9216,1.9385,3.3981,4.5361,4.2897,2.4389,2.4834,2.8639,3.6095,3.2481,5.3489,3.8502,1.0378,3.2767,0.98563,3.4945,3.5241,3.2909,3.3347,3.7375,3.3055,5.3489,5.3489,4.3657,3.7789,3.3833,4.5361
9,3.2169,1.2243,2.8827,1.1972,2.0541,2.3569,1.096,1.4673,1.8692,2.8827,2.8827,1.3785,2.3808,1.6206,0.94708,2.0442,0.15477,2.8857,2.8727,2.8827,2.2052,2.0527,1.645,3.8777,2.3808,0.88168,1.7923,2.6202,2.3183,2.5818,2.8827,2.2014,2.2693,2.6046,2.3114,1.2883,0.12875,2.5576,2.3924,0.56907,1.5903,2.8827,2.8827,1.4673,2.4375,1.9265,3.8777
13,0.26417,0.41744,0.55228,3.6096,1.1113,0.2534,0.3746,0.12398,0.14241,0.55228,0.55228,0.055812,0.45723,0.14711,0.13366,0.39362,1.2069,0.47602,0.23715,0.55228,0.12716,0.46567,0.11624,0.31775,0.45723,0.12277,0.12796,1.1054,0.39092,0.25195,0.55228,0.3487,0.67936,0.25517,0.13231,1.0358,0.14315,0.193,0.17044,0.63702,0.41145,0.55228,0.55228,0.12398,0.40817,0.62219,0.31775
11,0.32871,0.78467,1.9554,0.44192,1.4017,1.099,0.48062,0.64692,1.039,1.9554,1.9554,0.96345,1.6194,0.61577,0.34049,1.3983,2.0758,0.43089,0.5272,1.9554,1.4494,0.90105,1.4139,0.49,1.6194,0.37972,1.8986,0.60479,0.75826,0.71119,1.9554,1.0219,0.29187,0.71755,0.33637,0.47914,1.3495,3.385,0.67876,1.4786,0.89442,1.9554,1.9554,0.64692,0.81129,0.71464,0.49
