0,1.5916,1.4703,1.9363,1.104,1.2896,1.4193,1.4202,1.364,1.4026,1.5058,1.1717,1.1609,1.7137,1.4221,1.2515,0.74347,1.4067,1.3264,1.9363,1.4409,1.3265,1.22,1.4366,1.4976,1.1604,1.3529,1.5195,1.9363,1.2238,1.1689,1.5272,1.1341,1.1057,1.2211,1.9363
1,0.68837,1.0458,0.9792,0.55159,0.66942,0.733,1.4189,0.90061,0.9788,0.81907,0.66235,0.63329,0.77823,0.74195,0.84442,0.754,0.78947,0.66216,0.9792,0.93848,0.74632,1.0576,1.73,0.80443,0.62991,0.66166,0.7021,0.9792,0.837,0.6174,0.9097,0.57268,0.75274,0.58305,0.9792
8,1.279,1.4504,1.9262,1.0889,1.4377,1.4001,1.6689,1.2781,1.383,1.4857,1.6083,1.5956,1.4197,1.4028,1.7207,0.69651,1.8371,1.2426,1.9262,1.1349,1.815,1.6769,1.9772,1.4775,1.2955,1.2675,1.3325,1.9262,1.2066,1.5239,1.216,1.1186,1.0906,1.144,1.9262
10,0.85528,1.887,0.77308,0.37848,0.32042,0.53068,0.35026,1.3137,1.7006,0.72566,2.9484,0.60132,0.77294,0.85411,0.52401,0.42535,1.2722,0.53386,0.77308,0.65843,0.54574,0.71855,0.65868,0.61037,1.7379,0.37014,1.0388,0.77308,1.1809,3.6454,0.62579,0.61452,1.9768,0.18673,0.77308
4,3.3052,3.7501,4.9399,2.8131,3.1177,3.6177,3.6194,3.3028,3.5747,3.8401,2.9829,2.9578,3.6696,3.6251,3.1898,1.7991,3.404,3.2114,4.9399,3.6731,3.3657,3.1088,3.6634,3.2992,2.8084,3.2752,3.4434,4.9399,3.1176,2.8256,3.8942,2.8899,2.8177,2.9554,4.9399
6,2.9682,3.3474,4.4105,2.6218,2.968,3.2326,2.9116,2.9662,3.1931,3.4283,2.9046,2.8287,3.2765,3.2386,3.0014,1.714,3.2173,2.8853,4.4105,3.4554,3.1832,3.0643,3.6302,3.41,2.281,2.9424,3.0932,4.4105,2.7863,2.7713,3.4778,2.6251,2.5186,2.7545,4.4105
7,0.9478,2.5368,2.4515,1.6404,1.1829,1.7971,1.7622,1.5367,2.1483,1.9067,1.358,0.98625,1.8221,1.8007,1.736,1.506,0.76717,0.79237,2.4515,1.5257,1.0183,2.0136,1.2378,1.8963,1.331,0.9343,1.2443,2.4515,1.9747,0.76499,2.2309,1.5067,1.9092,1.103,2.4515
2,3.6719,5.6645,6.5733,4.0919,2.9161,4.8162,4.3266,4.2703,5.1323,5.1047,3.9705,3.4255,4.8792,4.8246,4.4602,3.1125,3.1219,3.4313,6.5733,4.5951,3.6763,4.8267,4.375,5.0782,3.3091,3.6409,4.122,6.5733,4.5344,3.1526,5.4746,3.965,4.2657,3.6761,6.5733
5,0.16712,0.76218,0.71254,1.0298,0.39147,0.52816,0.78573,0.34172,0.98405,0.5708,3.5647,0.6547,0.54435,0.53101,1.5668,1.7161,0.585,0.59786,0.71254,1.0848,0.50401,0.75715,1.0844,0.56517,2.2299,0.16047,0.58014,0.71254,0.62853,4.2735,0.58064,1.0587,0.32513,1.1943,0.71254
9,0.41561,0.82269,0.52731,0.89352,0.3915,0.34137,0.34209,0.82985,0.78213,1.0491,0.56864,0.27857,0.3485,1.1545,0.69753,2.0508,0.42876,0.40359,0.52731,0.34825,0.31834,0.67974,0.34866,0.36305,0.98284,0.82302,0.43248,0.52731,0.29371,0.6452,0.37136,2.18,1.6379,1.2091,0.52731
3,0.71461,0.58562,0.71151,0.99752,0.53825,0.47344,0.62369,0.71258,0.54173,0.59103,0.46479,0.67653,0.5626,0.54149,0.59145,0.44933,0.97982,0.74368,0.71151,0.70195,0.51374,0.57557,0.70138,0.58182,0.82978,0.57837,0.53037,0.71151,0.68233,0.44858,0.60625,0.35367,0.35853,0.37083,0.71151
15,2.0578,1.5344,1.9862,1.3928,1.7332,1.4568,1.5392,2.0549,1.9661,1.5493,1.7257,1.5846,1.4827,1.4608,1.4724,0.36276,2.3555,2.059,1.9862,1.6952,1.7837,0.20963,1.6917,1.5397,1.8487,2.0336,1.8424,1.9862,2.4578,2.4322,1.5738,1.163,1.1339,1.5804,1.9862
17,4.9243,4.985,4.9727,1.0287,4.4396,2.7852,3.6449,5.9876,4.7567,4.3286,1.0806,3.3302,3.6947,3.658,4.0911,1.3798,5.0697,4.7827,4.9727,3.6995,4.3755,3.9877,3.6862,3.8435,0.55302,3.2214,3.827,4.9727,4.1267,1.2679,3.9199,0.93258,2.6774,1.7141,4.9727
11,4.5088,2.5695,0.58944,0.16236,4.7914,0.54851,0.84496,2.8254,2.114,0.11604,0.4785,3.7858,0.39768,0.79669,2.1397,2.2453,5.8495,4.5797,0.58944,0.91581,4.4476,1.0795,1.5555,0.41519,0.71079,5.5264,0.81038,0.58944,4.3627,1.5539,0.42315,2.8057,1.8202,1.7327,0.58944
13,2.0906,1.8579,2.662,2.3247,1.8623,1.092,2.0509,1.9397,1.7701,2.4457,1.7403,1.0462,1.9748,2.8487,1.4687,1.5152,2.2011,2.0324,2.662,2.0264,1.6845,1.4286,2.0219,2.0547,1.6675,1.2764,2.1802,2.662,1.546,1.9574,2.0942,2.2712,1.4667,2.6643,2.662
14,0.97809,2.0945,2.6196,1.0901,1.0182,1.7639,2.0746,1.0202,1.169,2.0358,1.386,1.945,1.9459,1.7671,1.6859,1.7966,1.224,0.21532,2.6196,2.2915,2.0781,1.8353,2.2617,2.025,0.79844,0.821,1.0189,2.6196,1.521,1.8922,2.0826,1.1234,1.0445,0.54262,2.6196
16,8.2277,1.6955,2.2372,1.2669,5.7248,1.6312,1.6326,6.065,1.6136,1.7353,1.3458,4.4162,3.7641,1.6352,1.4378,1.3205,6.2474,5.8958,2.2372,1.6583,5.021,1.401,1.655,1.7247,2.061,6.0162,4.3974,2.2372,4.6541,2.0734,1.7604,1.302,1.2695,2.1689,2.2372
12,1.8008,7.3388,4.3807,3.9921,1.1828,3.2112,2.9726,5.3778,7.478,3.4087,2.6162,0.82095,1.0326,3.2177,5.8061,3.8547,0.91524,2.4124,4.3807,2.7995,0.79711,4.2896,2.7744,3.3898,3.0369,2.546,0.84878,4.3807,0.93275,3.0552,3.4597,3.5923,6.5245,2.8732,4.3807
18,0.65962,1.421,0.91868,0.845,0.60697,0.73265,0.6979,1.1692,1.3149,0.8736,1.6385,0.58937,0.73476,0.86933,1.0378,2.1756,0.69779,0.63229,0.91868,0.72725,0.65117,1.0099,0.73606,0.75631,1.5882,0.78794,0.6701,0.91868,0.62393,1.6044,0.78925,3.4327,1.0135,1.3813,0.91868
