DRUG_ID,SCAN_DRUGID_COSMICID_KEY,COSMIC_ID,DF,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,param_1,param_2,param_3,param_4,ARID1A_mut,ARID2_mut,BRAF_mut,CDKN2A_mut,EZH2_mut,MECOM_mut,NF1_mut,NRAS_mut,PLCB1_mut,PTEN_mut,TP53_mut,loss.cnaSKCM3,loss.cnaSKCM4..BNC2.CDKN2A.JAK2.PSIP1.,loss.cnaSKCM5..PAX5.,loss.cnaSKCM9,gain.cnaSKCM12..KRAS.,gain.cnaSKCM21..FOXP1.MITF.,loss.cnaSKCM22,loss.cnaSKCM23,loss.cnaSKCM24..loss.cnaSKCM25,loss.cnaSKCM26,loss.cnaSKCM27..CASP1.,loss.cnaSKCM28,loss.cnaSKCM30
1371,64496_1371_1287706_0,1287706,4,10.0,0,0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,1.0,1.0,1.0,1.0,0.607194713810862,0.409256320310743,0.275866371327563,0.507381858588289,1.4366704648716906,-12.454738210568587,0.319663561409879,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1371,64321_1371_910921_0,910921,4,10.0,0,0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,1.0,1.0,0.991298118148172,0.83776100971394,0.633553113763839,0.524002522984212,0.387105554698539,0.4359363638407929,1.2449770708318746,-4.07985860909422,0.3087639538450891,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1371,58158_1371_906793_0,906793,4,10.0,0,0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,1.0,1.0,0.978984074503708,0.612065148476722,0.377178965758539,0.189745220237732,0.0995157071136388,0.3683027590601599,0.8744961652301164,-4.922513847307983,0.064836605725156,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1371,58183_1371_906830_0,906830,4,10.0,0,0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,1.0,1.0,1.0,0.997012385396521,0.757089270792194,0.531880149634981,0.152639884468506,0.9473977902895296,0.7251505229349264,-4.805265464403268,-0.3409334243388353,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
1371,77147_1371_910853_0,910853,4,10.0,0,0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,1.0,1.0,0.986094059153888,0.98081533722862,1.0,1.0,0.779664223569899,1.0225041512999118,0.8853766076849323,-70.06815957691106,-0.1360809177265441,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1371,78951_1371_906818_2,906818,4,10.0,0,0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,1.0,1.0,0.985571079860459,0.734985739556671,0.506803466779986,0.392995048868948,0.313139412386722,0.3323801296445619,1.261944688502778,-5.846764035946233,0.3067481130658587,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1371,77875_1371_1240125_0,1240125,4,10.0,0,0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,1.0,1.0,0.972269896550545,1.0,0.855273555291532,0.47673695852619,0.421744130662757,0.5949733179469894,1.7499318858117043,-15.391929678230769,0.4209506656219086,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1371,77382_1371_906814_1,906814,4,10.0,0,0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.655459713783823,15456.95791341526,-5.914921649268119,0.9999999998847262,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1371,77331_1371_906813_0,906813,4,10.0,0,0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,1.0,1.0,0.976802569913433,0.96670852084547,0.926512744358784,0.732392966728796,0.122315199232708,1.4628600270155496,0.2288874062285085,-6.198731604280613,-3.3787022077521645,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1371,63123_1371_687448_0,687448,4,10.0,0,0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,1.0,1.0,0.888905385789296,0.902123286780255,0.796225102613268,0.558570162638018,0.56167417948925,0.5295307955373627,2.6269876918351693,-16.386449116547258,0.5523558352077694,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1371,63260_1371_753545_0,753545,4,10.0,0,0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,1.0,1.0,0.915096438508394,0.741968384830753,0.586014265372002,0.365724599257813,0.289824542519245,0.4416615507524995,0.949378807342229,-3.331784972564311,0.1438949348863581,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1371,73168_1371_753546_0,753546,4,10.0,0,0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,1.0,1.0,0.893215489618307,0.91465669149479,0.83667634145114,0.692511131050507,0.555254909513107,0.8138885839500128,1.371995222805084,-3.7071778806950433,0.2559947098323981,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
